Number,Year,Topic,Link PDF,Link Web Page,Title,DOI,Language Page,Authors,Keywords,Summary (in Wix Paragraf row),Copy Banner,Overview/ Gambaran Umum,@
Makalah Kebijakan No. 33,02/2021,Kesejahteraan Rakyat,https://cutt.ly/CIPS-PolicyPaper33,https://cutt.ly/cips-mk33,Perjanjian Kemitraan Ekonomi Komprehensif Indonesia-Australia: Membangun Poros Kekuatan,,Indonesia,"Arianto Patunru, Andree Surianta, & Pingkan Audrine","IA CEPA, Indonesia, Australia, perjanjian dagang internasional","Setelah hampir sepuluh tahun melalui proses negosiasi, Indonesia-Australia Comprehensive Partnership Agreement (IA-CEPA) akhirnya berlaku pada Juli 2020. Dalam kondisi ekonomi global saat ini, utamanya dengan disrupsi akibat pandemi Covid-19, kemitraan ini hadir di saat yang tepat. IA-CEPA membuka dua peluang bagi Indonesia dan Australia, yakni kesempatan untuk fokus pada kemitraan yang sifatnya saling melengkapi dan memastikan kerja sama yang terjalin tidak terbatas hanya pada bidang perdagangan dan investasi, tetapi juga untuk mendorong reformasi domestik.

Perdagangan di sektor manufaktur makanan dan minuman dan investasi pendidikan tinggi, adalah dua area inti kemitraan IA-CEPA. Dalam laporan ini kami menyoroti isu-isu penting serta tantangan dalam IA-CEPA dengan menggunakan kasus-kasus yang ada pada dua area utama perjanjian ini dengan mengajukan empat rekomendasi untuk menjadi bahan pertimbangan.","Kemitraan IA-CEPA mengajukan model poros kekuatan ekonomi (Economic Powerhouse) di mana Indonesia dan Australia bekerjasama dalam mengakses rantai nilai global. Guna memaksimalkan manfaat dari model tersebut, makalah kebijakan ini menyajikan empat rekomendasi di dua area dengan potensi keberhasilan tertinggi—sektor manufaktur makanan dan minuman serta investasi pada pendidikan tinggi.","- Model poros kekuatan ekonomi IA-CEPA bertujuan untuk mengidentifikasi industri pelengkap antara Australia dan Indonesia dan memperkuat hubungan untuk akses terhadap pasar di negara ketiga. Misalnya, dengan menggunakan masukkan Australia terhadap ekspor manufaktur Indonesia, atau sebaliknya, untuk menembus pasar regional dan global.
- Indonesia dan Australia memiliki hubungan perdagangan yang kuat di industri makanan dan minuman. Australia utamanya mengekspor komoditas bahan mentah dan makanan setengah jadi ke Indonesia, sementara Indonesia lebih banyak mengekspor produk makanan jadi ke Australia. Hal ini menjadikan Australia mitra perdagangan penting bagi Indonesia.
- Di antara banyak sektor di mana kepentingan investasi Indonesia-Australia beririsan, pendidikan tinggi dan kesehatan memiliki kondisi yang lebih baik di bawah skema IA-CEPA. Untuk dua sektor tersebut, IA-CEPA memperbaiki ketentuan yang ada dalam Daftar Negatif Investasi (DNI) 2016. Sebagai hasilnya, kini rumah sakit dan universitas milik Australia dapat beroperasi di seluruh wilayah Indonesia.
- Dua potensi hambatan domestilk dalam implementasi IA-CEPA di Indonesia adalah: Omnibus Law terkait UU Cipta Kerja dan potensi benturan dengan strategi substitusi impor yang diadvokasi oleh Kementerian Perindustrian.",
Policy Paper No. 34,03/2021,Community Livelihoods,https://cutt.ly/CIPS-PolicyPaper34,https://cutt.ly/cips-pp34,Improving Consumer Protection for Low-Income Customers in P2P Lending,,English,Ajisatria Suleiman,"fintech, p2p lending, OJK, AFPI, consumer protection, low income families, payday loan, giz","Despite its significant growth, peer-to-peer (P2P) lending is a controversial sub-sector in financial technology (fintech), especially the practices of lenders that offer unsecured cash, or payday, loans. Consumer groups believe that existing personal data protection systems are inadequate to govern fintechs and that this has led to data abuse by the majority of fintech payday lenders. 

Aggressive personal data collection and use by fintech payday lending firms is primarily the result of an insufficient system for assessing the creditworthiness of Indonesians. In an effort to close the gap between the existing regulatory rules and the actual market conduct, the fintech industry association, AFPI, has stepped into a “co-regulatory” role with OJK. While the partnership of OJK and AFPI are already on the right track, both needs to improve their ability to collaborate when making, adopting, enforcing, and evolving their policies and regulations through series of regulatory and market reforms. ",,,
Makalah Kebijakan No. 34,03/2021,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan34,https://cutt.ly/cips-mk34,Meningkatkan Perlindungan Konsumen Fintech P2P Lending Berpenghasilan Rendah,,Indonesia,Ajisatria Suleiman,"fintech, p2p lending, OJK, masyarakat kurang mampu, pinjaman, peminjam, AFPI, payday loan, giz","P2P Lending menyediakan kesempatan bagi masyarakat Indonesia yang tidak memiliki akses ke bank tradisional untuk mendapatkan pinjaman dengan persyaratan yang lebih sederhana dan tanpa harus datang langsung ke gerai bank (Suleiman, 2019). Hal tersebut secara khusus menguntungkan kelompok berpenghasilan rendah, warga yang tinggal di daerah pedesaan, dan perusahaan mikro atau kecil. Di saat yang bersamaan, tingkat pendidikan yang rendah, pengalaman mengenai jasa keuangan yang minim, dan akses terbatas ke mekanisme penyampaian pengaduan yudisial dan ekstra-yudisial membuat kelompok ini lebih berisiko terkena penipuan atau praktik peminjaman pemangsa (predatory lending). 

Perlindungan konsumen untuk penerima dana telah menjadi isu utama dalam P2P Lending, terutama pendanaan payday. OJK, dengan bantuan sektor swasta melalui AFPI, telah memperkenalkan beberapa upaya regulasi dan kebijakan untuk mengatasi isu-isu ini. OJK dan AFPI telah mendemonstrasikan kemampuan mereka untuk berkolaborasi dalam membuat, mengadaptasi, melaksanakan, dan mengembangkan kebijakan serta peraturan mereka. Sejatinya upaya yang dilakukan keduanya sudah tepat, namun beberapa rekomendasi di bawah ini akan dapat semakin meningkatkan efektivitas praktik yang sudah ada dan lebih memastikan perlindungan konsumen berpenghasilan rendah
",,,
Policy Paper No. 35,04/2021,Food Security & Agriculture,https://cutt.ly/CIPS-PolicyPaper35,https://cutt.ly/cips-pp35,Foreign Direct Investment in Indonesia’s Agriculture,,English,"Donny Pasaribu, Arumdriya Murwani, and Indra Setiawan","foreign direct investment, fdi, Regional Comprehensive Economic Partnership, RCEP, IA CEPA, Indonesia-Australia Economic Partnership Agreement, Job Creation, EoDB index investment, foreign investment, Ministry of Trade, Investment Coordinating Board, Work Holiday Visa, Australia","Indonesia is gearing itself to attract more trade and investment, as well as integrating further into the global economy. The country has been actively pursuing economic cooperation both through regional agreements, such as the Regional Comprehensive Economic Partnership (RCEP) and with individual countries, such as the Indonesia-Australia Economic Partnership Agreement (IACEPA).

Despite these integration efforts, the government has given relatively little attention to attracting FDI in Indonesia’s agriculture. Factors that support or hinder FDI in agriculture may be different from those in other sectors. A thorough understanding of the factors that apply to agriculture in particular are important for policymakers, investors, and to develop an academic understanding of the sector. Acting on this knowledge will help policymakers effectively support rural economic development and sustainable agriculture. ",,,
Makalah Kebijakan No. 35,04/2021,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MakalahKebijakan35,https://cutt.ly/cips-mk35,Penanaman Modal Asing di Sektor Pertanian Indonesia,,Indonesia,"Donny Pasaribu, Arumdriya Murwani, and Indra Setiawan","penanaman modal asing, pma, fdi, investasi asing, RCEP, IA CEPA, Australia, UU Cipta Kerja, omnibus law, eodb, kementerian perdagangan, bpkm, ","Indonesia sedang mempersiapkan diri untuk menarik lebih banyak perdagangan dan penanaman modal, serta untuk berintegrasi lebih lanjut ke dalam perekonomian global. Negara ini secara aktif telah mengupayakan kerja sama ekonomi, baik melalui perjanjian regional, seperti Regional Comprehensive Economic Partnership (RCEP) dan dengan negara-negara lain secara individu, seperti Perjanjian Kemitraan Ekonomi Indonesia-Australia (IA-CEPA). Terlepas dari upaya integrasi ini, pemerintah hanya memberikan perhatian yang relatif kecil untuk meningkatkan penanaman modal asing (PMA) di sektor pertanian Indonesia. 

Faktor yang mendukung atau menghalangi PMA sektor pertanian bisa berbeda dari yang ada di sektor-sektor lain. Pemahaman mendalam mengenai faktor yang khusus berlaku di sektor pertanian penting bagi pembuat kebijakan, investor, dan pengembangan pemahaman akademik di sektor ini. Pengetahuan ini akan membantu pembuat kebijakan untuk secara efektif mendukung pengembangan perekonomian desa dan pertanian yang berkelanjutan. ",,,
Policy Paper No. 36,04/2021,Food Security & Agriculture,https://cutt.ly/CIPS-PolicyPaper36,https://cutt.ly/cips-pp36,"The Cost of Non-Tariff Measures on Food and Agriculture in
Indonesia",,English,Felippa Amanta,"food trade, ntm, non tariff measures, food import, international trade, wheat, garlic, soybeans, sugar, beef, Omnibus Law on Job Creation, omnibus law, Ministry of Agriculture, Ministry of Trade, sanitary, phytosanitary, Quantitative restrictions, quota, automatic import licensing, Regulatory Impact Assessments","International trade in food and agriculture has more than doubled in real terms since 1995 to a value of USD 1.5 trillion in 2018. Indonesia benefits from this trade, with food and agricultural imports valued at USD 20 billion and exports at USD 37 billion in 2018. Indonesia imports food commodities such as wheat, garlic, soybeans, sugar, and beef, and exports commodities that have a comparative advantage such as palm oil, coffee, nuts, spices, and processed food products. The increased competitiveness of Indonesia’s food, beverages, and tobacco manufacturing industries indicates there is a huge potential for Indonesia to compete globally and grow its economy. 

Despite the importance of food trade, Indonesia uses non-tariff barriers to trade (Non-tariff Measures or NTMs) more extensively in the food and agriculture sector than its peer countries of Singapore, Malaysia, and Vietnam. NTMs are policies other than tariffs imposed on international trade. NTMs impose additional costs for enforcement, sourcing, and process-adaptation to food and beverage (F&B) manufacturing businesses, limit corporate access to the global market, and may reduce productivity and competitiveness. NTMs can, therefore, act as costly barriers to trade, even having a bigger influence than tariffs. With this, NTMs also undermine food security. This paper found that three reforms can minimize the cost of NTMs.",,,
Makalah Kebijakan No. 36,04/2021,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MakalahKebijakan36New,https://cutt.ly/cips-mk36,Biaya Hambatan Non-Tarif pada Perdagangan Pangan dan Pertanian di Indonesia,,Indonesia,Felippa Amanta,"perdagangan pangan, ntm, kebijakan non tariff, impor pangan, perdagangan internasional, gandum, bawang putih, kedelai, gula, daging sapi, UU Cipta Kerja, UU Cipker, omnibus law, Kementerian Pertanian, Kementerian Perdagangan, sanitasi, phytosanitary, kuota, kuota impor, importir,","Perdagangan internasional sektor pangan dan pertanian meningkat hingga lebih dari dua kali lipat sejak 1995 dan mencapai nilai US$ 1,5 triliun pada 2018. Indonesia diuntungkan oleh perdagangan itu, karena impor pangan dan pertanian mencapai nilai US$ 20 miliar dan ekspor sebesar US$ 37 miliar pada 2018. 

Indonesia mengimpor komoditas pangan seperti gandum, bawang putih, kacang kedelai, gula, dan daging sapi, serta mengekspor komoditas yang memiliki keunggulan komparatif seperti kelapa sawit, kopi, kacang, rempah rempah, dan produk pangan olahan. Meningkatnya daya saing industri makanan, minuman, dan tembakau menandakan adanya potensi besar bagi Indonesia untuk bersaing di kancah dunia dan mendorong pertumbuhan ekonomi. 

Meskipun perdagangan pangan sangat penting, Indonesia menerapkan hambatan non-tarif yang lebih ekstensif dalam perdagangan sektor pangan dan pertanian daripada negara tetangga seperti Singapura, Malaysia, dan Vietnam. Hambatan non-tarif adalah upaya kebijakan selain tarif yang diberlakukan untuk perdagangan internasional. Per Januari 2021, ada 466 hambatan non-tarif yang diberlakukan oleh delapan kementerian dan instansi pemerintah yang berbeda. 

Hambatan non-tarif ini menambah biaya pelaksanaan, pengadaan bahan baku, dan proses adaptasi untuk masuk ke usaha manufaktur makanan dan minuman (mamin), serta membatasi akses perusahaan ke pasar global, dan mengurangi produktivitas serta daya saing. Dengan demikian, hambatan non-tarif juga mengganggu ketahanan pangan. Makalah kebijakan ini menemukan bahwa ada tiga perubahan yang bisa dilakukan untuk meminimalisasi biaya hambatan non-tarif.",,,
Policy Paper No. 37,06/2021,Food Security & Agriculture,https://cutt.ly/CIPS-PP37-New,https://cutt.ly/cips-pp37,Food and Horticulture Crop Productivity in Indonesia,,English,Kadir Ruslan,"food crops, horticulture crops, Rice, Maize, Soybean, Shallot, Chilli and, Cayenne pepper, rice, soybean, maize, hybrid seed, BPS, Statistic Indonesia, Mechanization, farmer, farmer's productivity, crop productivity, Mechanization, ministry of agriculture, jajar legowo, agriculture policy, modernization,","Indonesia is faced with the challenge of ever-increasing domestic food demands as a consequence of population growth and improvements in people’s purchasing power. To anticipate this, the national food production capacity should be increased through the expansion of agricultural lands and/or improvements in productivity, without which overreliance on food imports would be inevitable. 

Amidst the massive rate of agricultural land conversion to non agricultural uses in recent years, increasing productivity must be pursued as the main strategy to boost the national food production capacity. Statistics show that productivity trends of rice, soybean, and shallot tend to have sloped in the past few years. There is a huge opportunity to increase productivity, both for food crops and horticultural commodities. Read our recommendations.",,,
Makalah Kebijakan No. 37,06/2021,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MakalahKebijakan37-New,https://cutt.ly/cips-mk37,Produktivitas Tanaman Pangan dan Hortikultura,,Indonesia,Kadir Ruslan,"produktivitas tanaman pangan, hortikultura, kadir ruslan, Padi, Jagung, Kedelai, Bawang Merah, Cabai Besar, Cabai Rawit, tanaman padi, produktivitas, Ekonometrik Determinan, produktivitas padi, palawija, BPS, Badan Pusat Statistik, survei ubinan, benih hibrida, jenis sawah, akses petani, petani indonesia, jajar legowo, Survei Pertanian Antar Sensus, kebijakan pertanian, kementerian pertanian, ","Statistik menunjukan bahwa produktivitas lima komoditas pangan strategis Indonesia, hanya jagung yang mengalami peningkatan produktivitas.  Kondisi ini merupakan tantangan yang berat bagi pemerintah untuk memastikan ketahanan pangan di Indonesia terjaga seiring dengan meningkatnya laju pertambahan jumlah penduduk. Makalah ini menelaah faktor-faktor yang mempengaruhi produktivitas tanaman pangan dan hortikultura seperti profil budidaya tanaman oleh petani, akses pada program bantuan pemerintah, keanggotaan kelompok/institusi petani, pengaruh teknologi (mekanisasi), serta dampak  perubahan iklim.

Simak rekomendasi kebijakan untuk meningkatkan produktivitas lahan & tenaga kerja pertanian di Indonesia, mulai dari modernisasi alat pertanian hingga penguatan penguatan kelembagaan kelompok petani.","Publikasi Terbaru!

Penduduk Indonesia semakin bertambah, tapi tren produksi komoditas pangan strategis mengalami penurunan. Simak Makalah Kebijakan kami yang membahas tantangan produktivitas pangan dalam negeri serta rekomendasi peningkatan produktivitas lahan dan tenaga kerja pertanian Indonesia.

Unduh
","Sepanjang periode 2014-2019, perkembangan level produktivitas tanaman padi dan kedelai cenderung landai dengan hanya komoditas jagung yang menujukan kenaikan produktivitas akibat keberhasilan introduksi benih jagung hibrida yang dibudidayakan secara masif. Hal serupa terjadi pada level produktivitas tanaman hortikultura yakni cabai besar dan cabai rawit, namun tren yang sama tidak terjadi pada komoditas bawang merah. 

Produktivitas komoditas tanaman pangan sangat dipengaruhi oleh profil budidaya yang dijalankan oleh petani. Hasil Survey Ubinan memperlihatkan bahwa produktivitas padi sawah, jagung, maupun kedelai bisa optimal dengan perluasan, perawatan, dan revitalisasi jaringan irigasi, penggunaan benih dan pupuk unggul yang sesuai dengan jenis tanaman maupun lahan, partisipasi dalam kelompok tani, serta pendampingan petani agar siap untuk menghadapi potensi dampak perubahan iklim dan meminimalisir serangan hama/OPT. 

Statistik menunjukan bahwa kesenjangan produktivitas tanaman pangan antara Jawa dan luar Jawa cenderung persisten dalam dua dekade terakhir dimana produktivitas petani di Jawa lebih tinggi 23 persen dari petani diluar Jawa. Hal ini dapat terjadi karena perbedaan tingkat kesuburan tanah, iklim, profil petani maupun kemajuan infrastruktur dan teknologi. Dengan mempersempit kesenjangan produktivitas tersebut, produktivitas tanaman secara nasional dapat naik secara signifikan. 

Dalam menganalisis level produktivitas komoditas pertanian di Indonesia, berbagai isu seperti ketidak seragaman data maupun tingkat akurasi metode yang digunakan sering dijumpai. Praktek pengumpulan data menggunakan subjective measurement yakni mengandalkan perkiraan subjektif petugas pengumpul data berdasarkan kondisi lapangan kerap terjadi. Indonesia harus merekonstruksi metode pengumpulan data menjadi lebih objektif untuk meningkatkan kualitas data pertanian di Indonesia.",
Policy Paper No. 38,08/2021,Community Livelihoods,https://cutt.ly/CIPS-PolicyPaper38,https://cutt.ly/CIPS-PP38,Impact of Indonesia's Content Moderation Regulation on Freedom of Expression,,English,Pingkan Audrine & Indra Setiawan,"internet, digital platforms, Indonesia content moderation, content moderation, user-generated content, indonesia social media, MOCI, ministry of communication and informatics, digital content, social modia content, indonesia social media content, internet sharing, sharing content through internet, MOCI regulation no 5/2020, electronic system organizer, indonesia electronic system organizer, indonesia eso, indonesia instagram, indonesia twitter, indonesia whatsapp, indonesia content regulation, indonesia social media regulation, social media regulation, freedom of expression ","The use of internet and digital platforms in Indonesia has been growing massively, where information exchange between users is continuous and fast-paced, especially on user-generated content (UGC) platforms such as social media, digital marketplaces, knowledge sharing, and entertainment. This highlights the need for content moderation policy to monitor UGC on the internet and prevent the spread of harmful content. Ministry of Communications and Informatics (MOCI) Regulation No. 5/2020 attempts to regulate content moderation by establishing MOCI’s authority to request that private electronic system organizers (ESOs) take down prohibited content within a restricted time period.

While weak content moderation comes with a risk of harmful material, excessive content moderation may turn into excessive censorship that could violate individual freedom of expression. To address issues in MOCI Regulation No. 5/2020, this policy paper proposes several recommendations for Indonesia’s content moderation policy. 
",,,
Makalah Kebijakan No. 38,08/2021,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan38,https://cutt.ly/CIPS-MK38,Dampak Regulasi Moderasi Konten terhadap Kebebasan Berekspresi di Indonesia,,Indonesia,Pingkan Audrine & Indra Setiawan,"internet, platform digital, moderasi konten Indonesia, moderasi konten, user-generated content, media sosial indonesia, Kemenkominfo, kementerian komunikasi dan informatika, konten digital, konten media sosial, konten media sosial indonesia, berbagi internet, berbagi konten melalui internet, permenkominfo moderasi konten, peraturan kemenkominfo no 5/2020, penyelenggara sistem elektronik, penyelenggara sistem elektronik indonesia, indonesia eso, instagram indonesia, twitter indonesia,whatsapp indonesia, peraturan konten indonesia, peraturan media sosial indonesia, peraturan media sosial, kebebasan berekspresi, kebebasan berekspresi digital, kebebasan berekspresi media sosial, media sosial, media sosial indonesia","Penggunaan internet dan platform digital di Indonesia telah berkembang secara masif, dimana pertukaran informasi antar pengguna berlangsung secara terus menerus dan serba cepat, terutama pada platform user-generated content (UGC) seperti media sosial, marketplace digital, knowledge sharing, dan hiburan. Hal ini menyoroti perlunya kebijakan moderasi konten untuk memantau UGC di internet dan mencegah penyebaran konten berbahaya. Peraturan Menteri Komunikasi dan Informatika (Permenkominfo) No. 5/2020 berupaya mengatur moderasi konten dengan menetapkan kewenangan Kominfo untuk meminta Penyelenggara Sistem Elektronik (PSE) Lingkup Privat menghapus konten terlarang dalam jangka waktu terbatas.

Meskipun moderasi konten yang lemah dapat berisiko menimbulkan konten berbahaya, moderasi konten yang terlalu berlebihan dapat mengakibatkan sensor berlebihan dan melanggar kebebasan berekspresi individu. Untuk mengatasi berbagai isu dalam Permenkominfo No. 5/2020, makalah kebijakan ini memberikan beberapa rekomendasi untuk kebijakan moderasi konten di Indonesia.

",,,
Policy Paper No. 39,9/2021,Community Livelihoods,https://cutt.ly/CIPS-PolicyPaper39,https://cutt.ly/cips-pp39,"A Study on the Access of Ministry, Government Agencies, and Law Enforcement Authority to Electronic System Organizers’ Data and Systems",,English,Ajisatria Suleiman,"Data, Data Governance, Electronic System Organizers, ESO, Personal Data Protection, Data Protection, Freedom of Speech, Privacy, Individual Privacy, Social Media, MOCI, Ministry of Communication and Informatics, Permenkominfo Regulation No. 5/2020, MOCI Regulation No. 5/2020, Electronic System Organizers, Human Rights, Intellectual Property Rights, Data Privacy Rights","Access to data and systems of Electronic System Organizers (ESOs) is a sensitive issue because it is considered a means of coercion (dwang middelen) that might infringe personal data protection, freedom of speech, individual privacy that also related to intellectual property rights and trade secrets. 

In light of this, further in-depth analysis is needed to assess whether The Indonesian Ministry of Communication and Informatics (MOCI) Regulation No. 5/2020 on Electronic System Organizers (ESOs) has accommodated various key elements to safeguard the general principles of human rights, intellectual property rights, and personal data protection. This paper concludes that access to ESO’s system might not be the best practice and should be taken as a last resort after all mitigation actions on information security have been carried out.","New Publications!

This paper discusses about the ministries or government agencies’ access to “electronic data” and “electronic system” which being ruled in The Indonesian Ministry of Communication and Informatics Regulation No. 5/2020 on Electronic System Organizers (ESOs). Access to electronic data and systems of ESOs is problematic because it might infringe on personal data protection, freedom of speech, and individual privacy. Read the paper to see our recommendations!

","The MOCI Regulation No.5/2020 contains provisions on the ministries or government agencies’ access to “electronic data” and “electronic system” for supervision purposes in accordance with laws and regulations. Access to electronic data and systems of ESOs is problematic because it might infringe on personal data protection, freedom of speech, and individual privacy. It is also concerning for ESOs as it concerns intellectual property rights and trade secrets.

CIPS recommends that there needs to be an evaluation or improvement to ensure the due process of law, especially from these aspects: legality, authorization, or stipulation from judiciary/independent bodies, and review and appeal. The MOCI should also serve as an advisory body and protector to ensure that access by ministries/government agencies is in accordance with the principles of personal data protection. Lastly, access to ESO’s system should be chosen as a last resort after other risk mitigation measures have been carried out.
",
Makalah Kebijakan No. 39,9/2021,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MakalahKebijakan39,https://cutt.ly/cips-mk39,"Kajian Pemenuhan Akses Terhadap Data dan Sistem dari Penyelenggara Sistem Elektronik oleh Kementerian, Lembaga Pengawas, dan Aparat Penegak Hukum",,Indonesia,Ajisatria Suleiman,"Data, Tata Kelola Data, Penyelenggara Sistem Elektronik, PSE, Perlindungan Data Pribadi, Perlindungan Data, Kebebasan Berbicara, Privasi, Privasi Individu, Media Sosial, Menkominfo, Kemenkominfo, Permenkominfo No. 5/2020, Permenkominfo No. 5/2020, Penyelenggara Sistem Elektronik, Hak Asasi Manusia, Hak Kekayaan Intelektual, Hak Privasi Data, Kementrerian Komunikasi dan Informatika Republik Indonesia, Perlindungan Data Pribadi Indonesia","Akses data dan sistem Electronic System Organizers (ESOs) merupakan isu yang penting karena dianggap sebagai alat pemaksaan (dwang middelen) yang dapat melanggar perlindungan data pribadi, kebebasan berbicara, dan privasi individu dengan mengaitkan kepada hak kekayaan intelektual dan rahasia dagang. 

Dalam hal ini, Peraturan Menteri Komunikasi dan Informatika (Permenkominfo) Nomor 5 Tahun 2020 tentang Penyelenggara Sistem Elektronik (ESO) harus ditinjau lebih dalam apakah telah menjaga prinsip-prinsip umum hak asasi manusia, hak kekayaan intelektual, dan perlindungan data pribadi.

 Makalah ini menyimpulkan bahwa akses ke sistem ESO mungkin bukan praktik terbaik dan harus diambil sebagai upaya terakhir setelah semua tindakan mitigasi keamanan informasi dilakukan.
","Publikasi Terbaru! 

Makalah ini membahas mengenai Peraturan Menteri Komunikasi dan Informatika (Permenkominfo) Nomor 5 Tahun 2020 tentang Penyelenggara Sistem Elektronik (PSE) yang harus ditinjau lebih dalam karena berpotensi melanggar hak asasi manusia dan perlindungan data pribadi. Peraturan tersebut menyebutkan bahwa kementerian atau lembaga berwenang memiliki akses terhadap data yang dimiliki Penyelenggara Sistem Elektronik. Mari baca lebih lanjut!
","Akses ke data elektronik dan sistem ESO oleh kementerian ataupun lembaga berwenang dapat menjadi potensi permasalahan karena dapat melanggar perlindungan data pribadi, kebebasan berbicara, dan privasi individu. Hal ini juga mengkhawatirkan bagi ESO karena menyangkut hak kekayaan intelektual dan rahasia dagang.

CIPS merekomendasikan bahwa perlu adanya evaluasi untuk menjamin proses hukum, terutama dalam aspek-aspek seperti legalitas, kewenangan, peninjauan, dan banding. Menkominfo harus memastikan bahwa akses yang dilakukan oleh kementerian/lembaga pemerintah sesuai dengan prinsip-prinsip perlindungan data pribadi. Terakhir, akses ke sistem ESO harus dipilih sebagai upaya terakhir setelah tindakan mitigasi risiko lainnya. 
",
Policy Paper No. 40,10/2021,Food Security & Agriculture,https://cutt.ly/CIPS-PolicyPaper40,https://cutt.ly/cips-pp40,"Improving Indonesia's Plantation Data Quality: Coffee, Sugar and Cocoa",,English,Kadir Ruslan & Octavia Rizky Prasetyo,"Plantation productivity, coffee plantations, cocoa plantations, sugar cane plantations, agriculture, plantation crops, cips policy paper, cips plantation data, kadir ruslan plantations, kadir ruslan, plantation data, improving plantation data, indonesian plantation, agriculture policy, indonesian agriculture data, indonesian plantation data, plantation policy indonesia, food commodity indonesia.","The plantation sub-sector is continuing to face the structural issue of a poor data collection system for plantations. The data are still collected using a lengthy and stage-by-stage business process, manually, leading to an administrative product compilation method that is vulnerable to errors and the subjectivity of the data collection officers.

This policy paper analyzes the importance of improvements in the plantation data collection system, especially for several strategic plantation commodities, such as coffee, cocoa, and sugarcane. In the short and medium terms, improvements to data collection systems can focus on modernizing business processes and improving methodologies. In the long run, a data collection method that is based on objective measurements, such as a remote sensing method using satellite images should be developed to improve the quality of data on planted areas.","New Publication!

The collection of plantation data in Indonesia is still carried out using manual methods,  long and tiered business processes that are really vulnerable to errors and elements of subjectivity of the data collectors. This may have an impact on the effectiveness of policy making related to the development of the plantation sub-sector. Check out our recommendations in the following policy paper.
","In general, smallholder plantation data collection is not entirely based on objective measurements, but often refers to farmers' declarations based on respondents' estimates or memory (memory recall), which have  minimal accuracy. Meanwhile, data collection for large plantations is faced with the reluctance of large plantations to participate in completing documents or providing information needed for the implementation of the Plantation Company Survey (SKB).

For this reason, CIPS recommends modernizing the business process and data collection system. Its methodologies should be improved by implementing an integrated household-based survey for several strategic plantation commodities to replace the current administrative product compilation methods. 
",
Makalah Kebijakan No. 40,10/2021,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MakalahKebijakan40,https://cutt.ly/cips-mk40,"Perbaikan Data Perkebunan Indonesia: Kopi, Gula dan Kakao",,Indonesia,Kadir Ruslan & Octavia Rizky Prasetyo,"Produktivitas perkebunan, perkebunan kopi, perkebunan kakao, perkebunan gula, agrikultur, ketahanan pangan, tanaman perkebunan, makalah kkebijakan cips, ketahanan pangan dan agrikultur, data perkebunan indonesia, data perkebunan, perkebunan indonesia, kebijakan perkebunan indonesia, kebijakan pangan indonesia, komoditas pangan, data pertanian, kadir ruslan, meningkatkan data perkebunan, metode pengambilan data perkebunan, gula, kakao, kopi, kebun kopi, kebun gula, kebun kakao.","Subsektor perkebunan masih menghadapi masalah struktural yaitu lemahnya sistem pengumpulan data perkebunan. Pengumpulan data masih dilakukan manual dengan proses bisnis yang cukup panjang dan berjenjang serta menggunakan metode kompilasi yang sangat rentan terhadap kesalahan dan unsur subjektivitas petugas pengumpul data.

Makalah kebijakan ini menganalisis pentingnya perbaikan  sistem pendataan perkebunan, terutama untuk beberapa komoditas perkebunan strategis, seperti kopi, kakao, dan tebu. Dalam jangka pendek dan menengah, perbaikan sistem pengumpulan data dapat berfokus pada modernisasi proses bisnis dan perbaikan metodologi. Dalam jangka panjang, perlu dikembangkan metode pengumpulan data yang didasarkan pada pengukuran yang objektif, seperti metode penginderaan jauh menggunakan citra satelit untuk meningkatkan kualitas data areal tanam.
","Publikasi Terbaru!

Pengumpulan data perkebunan di Indonesia masih dilakukan dengan metode manual, proses bisnis yang panjang dan berjenjang yang sangat rentan terhadap kesalahan dan unsur subjektivitas petugas pengumpul data. Hal ini dapat berdampak pada efektivitas pembuatan kebijakan terkait pengembangan subsektor perkebunan. Simak rekomendasi kami dalam makalah kebijakan berikut.","Pengumpulan data perkebunan rakyat umumnya tidak sepenuhnya didasarkan pada objective measurement akan tetapi mengacu pada deklarasi petani yang didasarkan pada perkiraan atau ingatan responden (memory recall) yang minim akurasi. Sedangkan pengumpulan data perkebunan besar dihadapkan pada keengganan perkebunan besar untuk berpartisipasi melengkapi dokumen atau memberikan informasi yang diperlukan dalam pelaksanaan Survei Perusahaan Perkebunan (SKB). 

Untuk itu, CIPS merekomendasikan perbaikan sistem pengumpulan data perkebunan dan modernisasi proses bisnis. Metodologi pengumpulan data juga harus diperbaiki dengan mengimplementasikan sebuah survei berbasis rumah tangga secara terintegrasi untuk sejumlah komoditas perkebunan strategis.
",
